,source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,phot_g_mean_mag,mg
1320,68284104491279872,55.55626055867918,24.313678237202087,7.141901362932087,18.71331441831289,-45.25776766624935,,3.2307186,17.88816,12.157229944770329
1321,68327402058399232,55.867606148324526,24.89180226540872,7.283281553343809,21.028380908263564,-45.62219455750791,,2.7780304,15.988075,10.299710751402603
1322,68225834671270528,54.897850360768295,24.118242404578417,7.290797631049818,23.256292275944883,-45.26894189750805,,2.3120155,14.702564,9.016439458467662
1323,68322454256073344,56.04572106237157,24.81260132799043,7.505215440428456,19.54089867931587,-44.52444114750137,,3.0037546,17.059748,11.436563512760898
1324,68334235349446528,55.12810756693859,24.487119845941063,7.240471737447157,22.009030694230653,-43.78479689809163,2.9462418340461696,1.1248474,11.5116625,5.8104967964497085
1325,68323485048225152,55.96737871230259,24.84142328724196,7.369683472216978,21.270328478190343,-44.22727997845427,,1.8678293,13.754035,8.091279172626763
1326,68185221460637824,55.19302946986233,24.1569947766132,7.245669247216719,21.0562824763008,-45.45239872988524,,2.8934174,16.611767,10.912159341826658
1327,68117635855255168,54.911292565004125,23.388843165439795,7.504349781130471,20.53668519330238,-44.27207480179037,,2.9012804,16.627108,11.003672962762296
1328,68296650092601088,55.93219599059834,24.487538978211685,7.440780136371382,19.36766843717904,-46.26523670484344,,2.514865,15.173921,9.532012991368738
1329,68120418994061312,54.92139246134386,23.47300769610576,7.172466609965421,20.822285678542432,-44.67240458864857,,3.1554146,17.213495,11.491837930259432
1330,68310359628169088,56.085556018632616,24.772662977203,7.184980521025954,19.87822661959223,-45.40496403109081,3.083473073523777,1.1248856,10.851324,5.133452056769748
1331,68390417818463872,55.61507853597353,25.04683423508488,7.238080541411509,19.562693114712204,-43.14152136837279,5.89616947739859,1.3064299,12.372397,6.670514479746188
1332,68267680536205440,55.674684812031806,24.19928217396679,6.836438889766712,20.29576223910213,-41.07490325313916,,1.9294043,13.883172,8.057321715412034
1333,68195598101454336,54.51024211932045,23.90966270861658,7.494400882332605,21.54440274173496,-44.74519057770417,,2.874032,16.526316,10.900000290020492
1334,68378563708730624,55.61946549991018,25.01660208963527,7.443178193000488,20.354517559427123,-47.01407679415664,,2.5329094,15.28962,9.64841248107322
1335,68279225408437888,55.46464119101738,24.32412384375407,7.593180038127572,20.43438208730785,-43.82175484730288,,3.333046,18.998428,13.40054683143234
1336,68395606138958592,55.405304465872206,25.14227341880287,7.729348996677682,20.849026330264834,-46.34756454139263,,3.0199938,16.786037,11.226752030406054
1337,68222119524026112,54.52892691355358,24.248616813450514,7.64347130483531,23.33900010429219,-46.87476907538304,,3.4322586,18.138193,12.554646327919922
1338,68129764842889600,55.143301707784765,23.682412313515783,7.426635788999271,20.5846640553484,-45.5973313411202,4.888961002529534,0.9182844,10.69776,5.051720258910414
1339,68300326584600448,55.92983106339691,24.548804053649626,6.8601481468673535,19.00987907464689,-42.32605652830692,,3.0378218,17.256842,11.438509132155666
1340,68395399980532864,55.39057975122393,25.113316582148403,7.276790377544087,20.577163806049565,-44.31052437870521,,2.83525,15.998383,10.308081890275185
1341,68186114813689344,55.251688880061366,24.22627317196434,7.180694334992793,20.06040050324689,-44.90342179030267,,3.0732822,17.048546,11.329378038611445
1342,68295481861500928,55.98213025281262,24.426210921526224,7.5475227461871475,21.46764977259764,-47.652516631675695,,1.911253,13.783011,8.172033589177019
1343,68390830135333504,55.50015608515147,25.029608411560087,7.205960298982081,19.832014379332435,-44.95602422803925,,2.8399782,16.00409,10.292548680773614
1344,68097020012324352,53.53056379661392,24.344251198562905,7.260658697491753,21.67234791543104,-45.15427470052718,6.067699435989059,0.68813324,9.426758,3.7316379240646818
